source_name,type,rss_url,website_url,extraction_method,rate_limit_seconds,priority,enabled
Hard Fork,podcast,https://feeds.megaphone.fm/hardfork,https://www.nytimes.com/column/hard-fork,direct_site,3,1,true
Stratechery,newsletter,,https://stratechery.com,article_page,5,1,true
Acquired,podcast,https://acquired.fm/rss,https://www.acquired.fm,direct_site,2,1,true
ACQ2 by Acquired,podcast,https://acquired.fm/acq2/rss,https://www.acquired.fm/episodes,direct_site,2,1,true
Conversations with Tyler,podcast,https://conversationswithtyler.com/episodes/?format=rss,https://conversationswithtyler.com,direct_site,3,1,true
The Tim Ferriss Show,podcast,https://tim.blog/podcast,https://tim.blog,direct_site,3,2,true
All-In Podcast,podcast,https://feeds.megaphone.fm/allin,https://www.allinpodcast.co,direct_site,3,2,true
Lex Fridman Podcast,podcast,https://lexfridman.com/podcast,https://lexfridman.com,direct_site,3,2,true
